REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,CHITIPA,Dr. Joyce Hilda BANDA,PP,#FF6400,35756
NORTHERN REGION,CHITIPA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,7738
NORTHERN REGION,CHITIPA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,353
NORTHERN REGION,CHITIPA,Prof. John CHISI,UP,#948A54,223
NORTHERN REGION,CHITIPA,Friday Anderson JUMBE,NLP,#948A54,122
NORTHERN REGION,CHITIPA,Aaron Davies Chester KATSONGA,CCP,#975D2A,8965
NORTHERN REGION,CHITIPA,Mark KATSONGA PHIRI,PPM,#C00000,135
NORTHERN REGION,CHITIPA,Atupele MULUZI,UDF,#FCF600,1238
NORTHERN REGION,CHITIPA,Prof. Peter MUTHARIKA,DPP,#00B0F0,31119
NORTHERN REGION,CHITIPA,George NNENSA,MAFUNDE,#948A54,176
NORTHERN REGION,CHITIPA,James Mbowe NYONDO,NASAF,#948A54,2613
NORTHERN REGION,CHITIPA,Abusa Helen SINGH,UIP,#948A54,126
NORTHERN REGION,KARONGA,Dr. Joyce Hilda BANDA,PP,#FF6400,64924
NORTHERN REGION,KARONGA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,27244
NORTHERN REGION,KARONGA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,431
NORTHERN REGION,KARONGA,Prof. John CHISI,UP,#948A54,319
NORTHERN REGION,KARONGA,Friday Anderson JUMBE,NLP,#948A54,159
NORTHERN REGION,KARONGA,Aaron Davies Chester KATSONGA,CCP,#975D2A,89
NORTHERN REGION,KARONGA,Mark KATSONGA PHIRI,PPM,#C00000,264
NORTHERN REGION,KARONGA,Atupele MULUZI,UDF,#FCF600,3236
NORTHERN REGION,KARONGA,Prof. Peter MUTHARIKA,DPP,#00B0F0,28206
NORTHERN REGION,KARONGA,George NNENSA,MAFUNDE,#948A54,165
