REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED,,,,,,,,,
Northern Region,Chitipa,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"50,277",,,,,,,,,
Northern Region,Chitipa,PETER DSD KUWANI,MMD,#008000,"1,220",,,,,,,,,
Northern Region,Chitipa,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"8,007",,,,,,,,,
Northern Region,Karonga,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"74,665",,,,,,,,,
Northern Region,Karonga,PETER DSD KUWANI,MMD,#008000,"1,257",,,,,,,,,
Northern Region,Karonga,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"13,356",,,,,,,,,
Northern Region,Likoma,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"2,981",,,,,,,,,
Northern Region,Likoma,PETER DSD KUWANI,MMD,#008000,37,,,,,,,,,
Northern Region,Likoma,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"1,690",,,,,,,,,
Northern Region,Mzimba,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"287,488",,,,,,,,,
Northern Region,Mzimba,PETER DSD KUWANI,MMD,#008000,"2,839",,,,,,,,,
Northern Region,Mzimba,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"26,334",,,,,,,,,
Northern Region,Nkhata Bay,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"45,591",,,,,,,,,
Northern Region,Nkhata Bay,PETER DSD KUWANI,MMD,#008000,663,,,,,,,,,
Northern Region,Nkhata Bay,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"11,761",,,,,,,,,
Northern Region,Rumphi,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"55,513",,,,,,,,,
Northern Region,Rumphi,PETER DSD KUWANI,MMD,#008000,747,,,,,,,,,
Northern Region,Rumphi,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"8,909",,,,,,,,,
Central Region,Dedza ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"170,268",,,,,,,,,
Central Region,Dedza ,PETER DSD KUWANI,MMD,#008000,"1,492",,,,,,,,,
Central Region,Dedza ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"14,724",,,,,,,,,
Central Region,Dowa,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"235,972",,,,,,,,,
Central Region,Dowa,PETER DSD KUWANI,MMD,#008000,696,,,,,,,,,
Central Region,Dowa,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"7,436",,,,,,,,,
Central Region,Kasungu,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"180,675",,,,,,,,,
Central Region,Kasungu,PETER DSD KUWANI,MMD,#008000,924,,,,,,,,,
Central Region,Kasungu,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"20,228",,,,,,,,,
Central Region,Lilongwe ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"644,730",,,,,,,,,
Central Region,Lilongwe ,PETER DSD KUWANI,MMD,#008000,"2,067",,,,,,,,,
Central Region,Lilongwe ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"68,888",,,,,,,,,
Central Region,Mchinji ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"135,181",,,,,,,,,
Central Region,Mchinji ,PETER DSD KUWANI,MMD,#008000,761,,,,,,,,,
Central Region,Mchinji ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"15,080",,,,,,,,,
Central Region,Nkhotakota,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"77,439",,,,,,,,,
Central Region,Nkhotakota,PETER DSD KUWANI,MMD,#008000,559,,,,,,,,,
Central Region,Nkhotakota,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"21,656",,,,,,,,,
Central Region,Ntcheu ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"81,914",,,,,,,,,
Central Region,Ntcheu ,PETER DSD KUWANI,MMD,#008000,"2,447",,,,,,,,,
Central Region,Ntcheu ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"26,041",,,,,,,,,
Central Region,Ntchisi,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"88,985",,,,,,,,,
Central Region,Ntchisi,PETER DSD KUWANI,MMD,#008000,369,,,,,,,,,
Central Region,Ntchisi,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"3,740",,,,,,,,,
Central Region,Salima ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"77,977",,,,,,,,,
Central Region,Salima ,PETER DSD KUWANI,MMD,#008000,"1,134",,,,,,,,,
Central Region,Salima ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"19,666",,,,,,,,,
